attr:Activity_ID,id,name[1],description[1],attr:Multiple_Choice_Type_(if_applicable),datatype,attr:Input_Options,attr:Calculation,attr:Quantity_Sub-Type,attr:Validation_Condition,attr:Editable,attr:Required,attr:Skip_Logic,attr:Linkages_to_Aggregate_Indicators,attr:Notes,map_to_concept_url[0],attr:ICD-11_URI,attr:ICD-11_Comments_Considerations,map_type[0],map_to_concept_url[1],attr:ICD-10_Comments_Considerations,map_type[1],map_to_concept_url[2],attr:ICD-9_Comments_Considerations,map_type[2],map_to_concept_url[3],attr:LOINC_version_2.68_Comments_Considerations,map_type[3],map_to_concept_url[4],attr:ICHI_URI,attr:ICHI_Comments_Considerations,map_type[4],map_to_concept_url[5],attr:ICF_Comments_Considerations,map_type[5],map_to_concept_url[6],attr:SNOMED_GPS_Code_Comments_Considerations,map_type[6],map_to_concept_url[7],attr:Snomed_CT_International_Version_Comments_Considerations,map_type[7],attr:HL7_FHIR_R4_Resource,attr:HL7_FHIR_R4_Values,map_to_concept_url[8],map_type[8],attr:ICD-11_Description,map_to_concept_url[9],attr:WHO_ATC_Name,attr:Activity_Group,map_type[9],resource_type,source,owner_id,owner_type,retired,name_type[1],map_from_concept_url[10],map_type[10],map_to_concept_url[10],concept_class,attr:ValueSet_URL
IMMZ.C1 Register or Update Client,IMMZ.C1.DE7,Age In Weeks,The client's calculated age (number of weeks) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 7,Duration,,No,C,"If Date of birth is entered, then Required.",,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/63900-5,Long common name: Current age or age at death,Source is narrower than target,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE8,Age In Months,The client's calculated age (number of months) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 30,Duration,,No,C,"If Date of birth is entered, then Required.",,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/63900-5,Long common name: Current age or age at death,Source is narrower than target,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE9,Age In Years,The client's calculated age (number of years) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 365.25,Duration,,No,C,"If Date of birth is entered, then Required.",,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/63900-5,Long common name: Current age or age at death,Source is narrower than target,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE10,Multiple Birth,"Indicates whether the patient is part of a multiple birth (e.g. twins, triplets, etc.).",,Boolean,Yes/No,,,,Yes,R,,,,,,Applies to Child. Need additional detail to classify- does this apply to mother or baby,,,Applies to Child. Need additional detail to classify- does this apply to mother or baby,,,,,,,,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/722250005,Multiple birth order (observable entity),Source is broader than target,Patient.multipleBirth[x],,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE11,Caregivers (multiple),"The patient's caregiver (person) which could be next of kin (e.g. partner, husband, mother, sibling, etc.)",,String,,,,,Yes,O,,,,,,,,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184140000,Caregiver details (observable entity),Source is narrower than target,/orgs/IHTSDO/sources/SNOMED-CT/concepts/133932002,Caregiver (person),Source is narrower than target,,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE12,Caregiver's Full Name,The full name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,,,,,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184140000,Caregiver details (observable entity),Source is narrower than target,/orgs/IHTSDO/sources/SNOMED-CT/concepts/184140000,Caregiver details (observable entity),Source is narrower than target,Patient.contact.name.text,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE13,Caregiver's Given Name,Given name or first name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caregiver (person). Caregiver concept in SNOMED-CT dos not differentiate between family and given names, however the single concept should be used and can be represented in FHIR as a Patient.contact.relationship",,Patient.contact.name.given,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE14,Caregiver's Family Name,Family name or last name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,(See Above),,Patient.contact.name.family,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE15,Contact Phone Number,Client's phone number. Can be a landline or a mobile phone number,,String,,,,,Yes,R,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/42077-8,Long common name: Patient Phone number,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184103008,Patient telephone number (observable entity),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/734005006,Telephone number (property) (qualifier value),Equivalent,Patient.telecom,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE16,Administrative Area,The name of the city/municipality/town/village of where the client lives,Select one,Coding,"Context-specific list of administrative areas e.g. Facility list, District list, etc.",,,Should be selected from list of local administrative areas,Yes,O,,,"Should be list of local areas, or potentially a string fill in field. List of Local areas is recommended since it will prevent data entry errors.",,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/56799-0,Long common name: Address,Source is broader than target,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184097001,Patient address (observable entity),Source is broader than target,/orgs/IHTSDO/sources/SNOMED-CT/concepts/758638001,Geographical location (property) (qualifier value),Related to,Patient.address.city,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE17,Occupation,The client's primary occupation. This field is only relevant for clients who work within a healthcare environment. It is used mainly for reporting and indicators purposes.,Select one,Coding,A list of health worker occupations/roles commonly managed within a Health Worker Registry.,,,Should be selected from list of healthcare worker (practitioner) roles,Yes,O,Skip if patient is not a health worker,"IMMZ.IND.56, IMMZ.IND.57",A list of healthcare worker roles is available in the FHIR Practitioner Role valueset: https://build.fhir.org/valueset-practitioner-role.html,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/85658-3,Long common name: Occupation [Type],Equivalent,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/14679004,Occupation (occupation),Equivalent,Observation.valueCodeableConcept[x].code,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE1,Number of birth doses administered,The number of vaccine product birth (dose sequence = zero) doses that were administered to the client to date (per product/antigen).,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE2,Number of doses administered,The number of vaccine product doses that were administered to the client to date (per product/antigen).,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/30960-9,Number of previous doses,Equivalent,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE3,Date and time when last dose was administered,The date and time when the last vaccine product dose was administered to the client (per product/antigen).,,DateTime,,,,Must be a date and time value,Yes,R,,,Compatible with HL7 FHIR dateTime https://www.hl7.org/fhir/datatypes.html#dateTime (e.g. YYYY-MM-DDThh:mm:ss+zz:zz),,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/30952-6,Date and time of vaccination,Related to,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/7241000122103,Date of vaccination (observable entity),Related to,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE4,Number of days since last dose,The number of days since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered'),Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE5,Number of weeks since last dose,The number of weeks since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 7,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE6,Number of months since last dose,The number of months since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 30,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE7,Number of years since last dose,The number of years since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 365.25,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE8,Patient has completed vaccine primary series,"Indicates if the client has completed the primary vaccination series of a product/antigen. If the client has not yet completed their primary series, it means they may be expected to receive more doses to complete their vaccination regimen for the respective product/antigen.",,Boolean,Yes/No,,,,Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE9,Patient is currently pregnant,The client is currently pregnant.,,Boolean,Yes/No,,,,Yes,O,,,"If the client cannot be determined to be reasonably pregnant/not pregnant, it is recommended that a pregnancy test be used to determine whether or not the client is pregnant before administering certain vaccines that should not be given to pregnant individuals.",/orgs/WHO/sources/ICD-11-WHO/concepts/XT0S,http://id.who.int/icd/entity/714822826,"Pregnancy; Pregnant state, incidental",Equivalent,/orgs/WHO/sources/ICD-10-WHO/concepts/Z33,,Equivalent,,,,/orgs/Regenstrief/sources/LOINC/concepts/82810-3,Pregnancy Status,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/77386006,Pregnancy (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/77386006,Pregnant (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE10,HIV status,The current HIV status of the client.,Select one,Coding,,,,Must be an HIV status,Yes,O,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/55277-8,HIV Status,Equivalent,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/278977008,Human immunodeficiency virus status (observable entity),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,https://app.staging.openconceptlab.org/#/orgs/WHO-Smart-Guidelines/collections/IMMZ.E0.DE10-values
IMMZ.E0. Prevaccination Data,5,Positive,The client is known to be HIV positive.,Input Option,Codes,,,,,Yes,O,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/1C62.Z,http://id.who.int/icd/entity/1000704511,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified; Asymptomatic human immunodeficiency virus [HIV] infection status",Equivalent,/orgs/WHO/sources/ICD-10-WHO/concepts/Z21,,Source is broader than target,,,,/orgs/Regenstrief/sources/LOINC/concepts/45683-0,HIV infection [Minimum Data Set],Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/165816005,Human immunodeficiency virus positive (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/165816005,Human immunodeficiency virus positive (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.E0.DE10/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/5/,Input Option,
IMMZ.E0. Prevaccination Data,6,Negative,The client is known to be HIV negative.,Input Option,Codes,,,,,Yes,O,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/QA02.Y,http://id.who.int/icd/entity/461464819,"Medical observation or evaluation for other suspected diseases or conditions, ruled out; Observation for other suspected diseases and conditions",Related to,/orgs/WHO/sources/ICD-10-WHO/concepts/Z03.8,,Related to,,,,/orgs/Regenstrief/sources/LOINC/concepts/45683-0,HIV infection [Minimum Data Set],Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/260385009,Negative (qualifier value),Source is narrower than target,/orgs/IHTSDO/sources/SNOMED-CT/concepts/165815009,Human immunodeficiency virus negative (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.E0.DE10/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/6/,Input Option,
IMMZ.E0. Prevaccination Data,7,Unknown,The client's HIV status is unknown.,Input Option,Codes,,,,,Yes,O,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/45683-0,HIV infection [Minimum Data Set],Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/261665006,Unknown (qualifier value),Source is narrower than target,/orgs/IHTSDO/sources/SNOMED-CT/concepts/261665006,Unknown (qualifier value),Source is narrower than target,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.E0.DE10/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/7/,Input Option,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE11,CD4 count,An indicator of immune function in patients living with HIV. It is the result of a test that measures how many CD4 cells a client has in their blood.,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,O,,,,,,,,,,,,,,,,,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/313660005,Absolute CD4 count procedure (procedure),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE12,Patient's birth outcome was preterm,The client mother's pregnancy outcome for the client was preterm resulting in the client being a Premature infant. Preterm is defined as babies born alive before 37 weeks of pregnancy are completed.,,Boolean,Yes/No,,,,Yes,O,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/KA21.4,http://id.who.int/icd/entity/1726201225,Preterm newborn; Other preterm infants,Equivalent,/orgs/WHO/sources/ICD-10-WHO/concepts/P07.3,,Source is narrower than target,,,,/orgs/Regenstrief/sources/LOINC/concepts/76517-2,Premature infant,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/395507008,Premature infant (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/395507008,Premature infant (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
