Activity ID,Data Element ID,Data Element Label,Description and Definition,Multiple Choice Type (if applicable),Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Skip Logic,Linkages to Aggregate Indicators,Notes,ICD-11 Code,ICD-11 URI,ICD-11 Comments / Considerations,ICD-11 Relationship,ICD-10 Code,ICD-10 Comments / Considerations,ICD-10 Relationship,ICD-9 Code,ICD-9 Comments / Considerations,ICD-9 Relationship,LOINC version 2.68 Code,LOINC version 2.68 Comments / Considerations,LOINC version 2.68 Relationship,ICHI (Beta 3) Code,ICHI URI,ICHI Comments / Considerations,ICHI Relationship,ICF Code,ICF Comments / Considerations,ICF Relationship,SNOMED GPS Code,SNOMED GPS Code Comments Considerations,SNOMED GPS Relationship,SNOMED CT International Version Code,SNOMED CT International Version Comments / Considerations,SNOMED CT Relationship,HL7 FHIR R4 - Resource,HL7 FHIR R4 - Values,HL7 FHIR R4 Code,HL7 FHIR R4 Relationship,ICD-11 Description,WHO ATC Code,WHO ATC Name,Origin Tab
IMMZ.C1 Register or Update Client,IMMZ.C1.DE7,Age In Weeks,The client's calculated age (number of weeks) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 7,Duration,,No,C,"If Date of birth is entered, then Required.",,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,63900-5,Long common name: Current age or age at death,Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE8,Age In Months,The client's calculated age (number of months) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 30,Duration,,No,C,"If Date of birth is entered, then Required.",,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,63900-5,Long common name: Current age or age at death,Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE9,Age In Years,The client's calculated age (number of years) based on the date of birth and the visit date,,Quantity,,('Visit Date' - 'Date of birth') / 365.25,Duration,,No,C,"If Date of birth is entered, then Required.",,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,63900-5,Long common name: Current age or age at death,Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,424144002,Current chronological age (observable entity),Source is narrower than target,,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE10,Multiple Birth,"Indicates whether the patient is part of a multiple birth (e.g. twins, triplets, etc.).",,Boolean,Yes/No,,,,Yes,R,,,,Not classifiable in ICD-11,,Applies to Child. Need additional detail to classify- does this apply to mother or baby,,Not classifiable in ICD-10,Applies to Child. Need additional detail to classify- does this apply to mother or baby,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,722250005,Multiple birth order (observable entity),Source is broader than target,Patient.multipleBirth[x],,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE11,Caregivers (multiple),"The patient's caregiver (person) which could be next of kin (e.g. partner, husband, mother, sibling, etc.)",,String,,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,,,,184140000,Caregiver details (observable entity),Source is narrower than target,133932002,Caregiver (person),Source is narrower than target,,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE12,Caregiver's Full Name,The full name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,,,,184140000,Caregiver details (observable entity),Source is narrower than target,184140000,Caregiver details (observable entity),Source is narrower than target,Patient.contact.name.text,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE13,Caregiver's Given Name,Given name or first name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,"Caregiver (person). Caregiver concept in SNOMED-CT dos not differentiate between family and given names, however the single concept should be used and can be represented in FHIR as a Patient.contact.relationship",,Patient.contact.name.given,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE14,Caregiver's Family Name,Family name or last name of the client's caregiver,,String,,,,"Only letters and special characters (period, dash) allowed",Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,(See Above),,Patient.contact.name.family,,,,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE15,Contact Phone Number,Client's phone number. Can be a landline or a mobile phone number,,String,,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,42077-8,Long common name: Patient Phone number,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184103008,Patient telephone number (observable entity),Equivalent,734005006,Telephone number (property) (qualifier value),Equivalent,Patient.telecom,,,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE16,Administrative Area,The name of the city/municipality/town/village of where the client lives,Select one,Coding,"Context-specific list of administrative areas e.g. Facility list, District list, etc.",,,Should be selected from list of local administrative areas,Yes,O,,,"Should be list of local areas, or potentially a string fill in field. List of Local areas is recommended since it will prevent data entry errors.",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,56799-0,Long common name: Address,Source is broader than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184097001,Patient address (observable entity),Source is broader than target,758638001,Geographical location (property) (qualifier value),Related to,Patient.address.city,,,Related to,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE17,Occupation,The client's primary occupation. This field is only relevant for clients who work within a healthcare environment. It is used mainly for reporting and indicators purposes.,Select one,Coding,A list of health worker occupations/roles commonly managed within a Health Worker Registry.,,,Should be selected from list of healthcare worker (practitioner) roles,Yes,O,Skip if patient is not a health worker,"IMMZ.IND.56, IMMZ.IND.57",A list of healthcare worker roles is available in the FHIR Practitioner Role valueset: https://build.fhir.org/valueset-practitioner-role.html,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,85658-3,Long common name: Occupation [Type],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,14679004,Occupation (occupation),Equivalent,Observation.valueCodeableConcept[x].code,,,Source is narrower than target,,,,IMMZ.C Register Client
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE1,Number of birth doses administered,The number of vaccine product birth (dose sequence = zero) doses that were administered to the client to date (per product/antigen).,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE2,Number of doses administered,The number of vaccine product doses that were administered to the client to date (per product/antigen).,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30960-9,Number of previous doses,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE3,Date and time when last dose was administered,The date and time when the last vaccine product dose was administered to the client (per product/antigen).,,DateTime,,,,Must be a date and time value,Yes,R,,,Compatible with HL7 FHIR dateTime https://www.hl7.org/fhir/datatypes.html#dateTime (e.g. YYYY-MM-DDThh:mm:ss+zz:zz),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,30952-6,Date and time of vaccination,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,7241000122103,Date of vaccination (observable entity),Related to,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE4,Number of days since last dose,The number of days since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered'),Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE5,Number of weeks since last dose,The number of weeks since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 7,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE6,Number of months since last dose,The number of months since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 30,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE7,Number of years since last dose,The number of years since the last vaccine product dose that was administered to the client (per product/antigen).,,Quantity,,('Visit Date' - 'Date and time when last dose was administered') / 365.25,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE8,Patient has completed vaccine primary series,"Indicates if the client has completed the primary vaccination series of a product/antigen. If the client has not yet completed their primary series, it means they may be expected to receive more doses to complete their vaccination regimen for the respective product/antigen.",,Boolean,Yes/No,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE9,Patient is currently pregnant,The client is currently pregnant.,,Boolean,Yes/No,,,,Yes,O,,,"If the client cannot be determined to be reasonably pregnant/not pregnant, it is recommended that a pregnancy test be used to determine whether or not the client is pregnant before administering certain vaccines that should not be given to pregnant individuals.",XT0S,http://id.who.int/icd/entity/714822826,"Pregnancy; Pregnant state, incidental",Equivalent,Z33,,Equivalent,Not classifiable in ICD-9,,,82810-3,Pregnancy Status,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,77386006,Pregnancy (finding),Equivalent,77386006,Pregnant (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE10,HIV status,The current HIV status of the client.,Select one,Coding,,,,Must be an HIV status,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,55277-8,HIV Status,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,278977008,Human immunodeficiency virus status (observable entity),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,Positive,The client is known to be HIV positive.,Input Option,Codes,Positive,,,,Yes,O,,,,1C62.Z,http://id.who.int/icd/entity/1000704511,"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified; Asymptomatic human immunodeficiency virus [HIV] infection status",Equivalent,Z21,,Source is broader than target,Not classifiable in ICD-9,,,45683-0,HIV infection [Minimum Data Set],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,165816005,Human immunodeficiency virus positive (finding),Equivalent,165816005,Human immunodeficiency virus positive (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,Negative,The client is known to be HIV negative.,Input Option,Codes,Negative,,,,Yes,O,,,,QA02.Y,http://id.who.int/icd/entity/461464819,"Medical observation or evaluation for other suspected diseases or conditions, ruled out; Observation for other suspected diseases and conditions",Related to,Z03.8,,Related to,Not classifiable in ICD-9,,,45683-0,HIV infection [Minimum Data Set],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,260385009,Negative (qualifier value),Source is narrower than target,165815009,Human immunodeficiency virus negative (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,Unknown,The client's HIV status is unknown.,Input Option,Codes,Unknown,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,45683-0,HIV infection [Minimum Data Set],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,261665006,Unknown (qualifier value),Source is narrower than target,261665006,Unknown (qualifier value),Source is narrower than target,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE11,CD4 count,An indicator of immune function in patients living with HIV. It is the result of a test that measures how many CD4 cells a client has in their blood.,,Quantity,,,Integer Quantity,Must be positive integer value greater than or equal to zero (>=0),Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,313660005,Absolute CD4 count procedure (procedure),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE12,Patient's birth outcome was preterm,The client mother's pregnancy outcome for the client was preterm resulting in the client being a Premature infant. Preterm is defined as babies born alive before 37 weeks of pregnancy are completed.,,Boolean,Yes/No,,,,Yes,O,,,,KA21.4,http://id.who.int/icd/entity/1726201225,Preterm newborn; Other preterm infants,Equivalent,P07.3,,Source is narrower than target,Not classifiable in ICD-9,,,76517-2,Premature infant,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,395507008,Premature infant (finding),Equivalent,395507008,Premature infant (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE13,Patient is immunocompromised,The client is known to be immunocompromised or immunosuppressed. This means the client has a weakened immune system having a reduced ability to fight infections and other diseases.,,Boolean,Yes/No,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,96381-9,Immune status,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,370388006,Patient immunocompromised (finding),Equivalent,370388006,Patient immunocompromised (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE14,Patient is currently receiving ART,The client is currently receiving Antiretroviral Therapy (ART),,Boolean,Yes/No,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE15,TST Test Result,Represents whether or not the Tuberculin Skin Test (TST) is considered positive or negative for the client. The TST test is a standard method to determine whether a person is infected with Mycobacterium Tuberculosis (MTB),Select one,Coding,,,,Must be an TST Test Result code,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,TST-Positive,The client's TST test result is positive for TB infection,Input Option,Codes,TST-Positive,,,,Yes,O,,,,MA14.10,http://id.who.int/icd/entity/741356478,Abnormal reaction to tuberculin test,Source is narrower than target,R76.1,,Source is narrower than target,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,10828004,Positive (qualifier value),Source is narrower than target,10828004,Positive (qualifier value),Source is narrower than target,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,TST-Negative,The client's TST test result is negative for TB infection,Input Option,Codes,TST-Negative,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,260385009,Negative (qualifier value),Source is narrower than target,260385009,Negative (qualifier value),Source is narrower than target,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE16,IGRA Test Result,Represents whether or not the Interferon-Gamma Release Assays (IGRAs) test result is considered positive or negative for the client. The IGRA test is a standard whole-blood test that can aid in diagnosing a person who is infected with Mycobacterium Tuberculosis (MTB),Select one,Coding,,,,Must be an IGRA Test Result code,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,35140007,Interferon gamma assay (procedure),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,IGRA-Positive,The client's IGRA test result is positive for TB infection,Input Option,Codes,IGRA-Positive,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,10828004,Positive (qualifier value),Source is narrower than target,440662009,Interferon gamma assay positive (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,,IGRA-Negative,The client's IGRA test result is negative for TB infection,Input Option,Codes,IGRA-Negative,,,,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,260385009,Negative (qualifier value),Source is narrower than target,440661002,Interferon gamma assay negative (finding),Equivalent,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE17,CD4 percentage,Represents the client's CD4 percentage level. The CD4 percentage (CD%) is the percentage of white blood cells (lymphocytes) that are CD4 cells,,Quantity,,,Decimal Quantity,Must be positive decimal value greater than or equal to zero (>=0.00),Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
IMMZ.E0. Prevaccination Data,IMMZ.E0.DE18,Maternal HIV status,The HIV status of the client's biological mother when the client was born.,Select one,Coding,,,,Must be an Maternal HIV status,Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,75179-2,Mother's HIV status during pregnancy [CDC.CS],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Not classifiable in SNOMED-CT,,,,,,,,,,IMMZ.G Pre-vaccination Data
