activity_id,data_element_id,data_element_label,description_and_definition,multiple_choice_type_if_applicable,data_type,input_options,calculation,quantity_subtype,validation_condition,editable,required,explain_conditionality,linkages_to_aggregate_indicators,notes,icd11code,icd11uri,icd11comments__considerations,icd11_relationship,icd10code,icd10comments__considerations,icd10_relationship,loinc_version_268code,loinc_version_268comments__considerations,loinc_relationship,ichi_beta_3code,ichiuri,ichicomments__considerations,ichi_relationship,icfcode,icfcomments__considerations,icf_relationship,snomed_gps_code,snomed_gps_comments_considerations,snomed_gps_relationship,relevant_antigens,Origin Tab
IMMZ.D1.Capture or update client history,IMMZ.D1.DE11,HIV-positive,The client is known to be HIV positive,Input Option,Codes,HIV-positive,,,,Yes,,,,,1C62.Z,http://id.who.int/icd/entity/1000704511,"Code title: Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",Source is broader than target,Z21,Code title: Asymptomatic HIV infection status,Source is broader than target,45683-0,Code title: HIV infection [Minimum Data Set],Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,165816005,Code title: Human immunodeficiency virus positive,Equivalent,All antigens,IMMZ.D1 Capture client history
IMMZ.D1.Capture or update client history,IMMZ.D1.DE12,HIV-negative,The client is known to be HIV negative,Input Option,Codes,HIV-negative,,,,Yes,,,,,QA02.Y,http://id.who.int/icd/entity/461464819,"Code title: Medical observation or evaluation for other suspected diseases or conditions, ruled out",Related to,Z03.8,Code title: Observation for other suspected diseases and conditions,Related to,45683-0,Code title: HIV infection [Minimum Data Set],Not related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,165815009,Code title: HIV negative,Equivalent,All antigens,IMMZ.D1 Capture client history
IMMZ.D1.Capture or update client history,IMMZ.D1.DE13,Unknown,The client's HIV status is unknown,Input Option,Codes,Unknown,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,261665006,Code title: Unknown (qualifier value),Source is narrower than target,All antigens,IMMZ.D1 Capture client history
IMMZ.D1.Capture or update client history,IMMZ.D1.DE15,Preterm birth,The infant was preterm; the mother gave birth to the infant when gestational age was less than 37 weeks,,Boolean,Yes/No,,,,Yes,C,Required in input in IMMZ.C.DE13 Age is < 1 month,,,KA21.4,http://id.who.int/icd/entity/1726201225,Code title: Preterm newborn,Equivalent,P07.3,Code title: Other preterm infants,Source is narrower than target,76517-2,Code title: Premature infant,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,395507008,Code title: Premature infant (finding),Equivalent,All antigens,IMMZ.D1 Capture client history
IMMZ.D1.Capture or update client history,IMMZ.D1.DE92,Severely immunosuppressed,The client is known to be severely immunosuppressed,,Boolean,Yes/No,,,,Yes,C,Required if input in IMMZ.D.DE19 vaccine type is Measles vaccines,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,96381-9,Code title: Immune status,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Measles,IMMZ.D1 Capture client history
IMMZ.D1.Capture or update client history,IMMZ.D1.DE49,ART start date,The date on which the client started or restarted antiretroviral therapy (ART),,Date,,,,Date ≤ Current Date,Yes,C,Required if input in IMMZ.D.DE19 vaccine type is Measles vaccines,,Compatible with HL7 FHIR date https://www.hl7.org/fhir/datatypes.html#date (e.g. YYYY-MM-DD),Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,Measles,IMMZ.D1 Capture client history
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE156,Immunization recommendation status,The current status or recommendation for a specific immunization for an client,Select one,Coding,,,,,Yes,R,,,"The system can automatically set at value for this data element based on the outputs of the decision logic tables run as part of activity ""IMMZ.D2 Determine required vaccinations""",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE157,Not due,The client is not currently eligible or scheduled for the specified immunization,Input Option,Codes,Not due,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE158,Due,The client is currently eligible and should receive the specified immunization based on the recommended schedule,Input Option,Codes,Due,,,,Yes,,,,,QC06,http://id.who.int/icd/entity/874796608,Code title: Underimmunization status,Related to,Z28.3,Code title: Underimmunization status,Related to,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,722187008,Code title: Under immunized,Related to,,IMMZ.D Administer vaccine
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE189,Complete,The client has received the specified immunization(s) based on the recommended schedule,Input Option,Codes,Completed,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE159,Contraindicated,The specified immunization is not recommended for the client due to contraindications,Input Option,Codes,Contraindicated,,,,Yes,,,,,QC04.Z,,Code title: Immunization not carried out for unspecified reason,Related to,Z28.9,Code title: Immunization not carried out for unspecified reason,Related to,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D2.Determine required vaccination(s),IMMZ.D.DE160,Further evaluation needed,Additional assessment is necessary before making a recommendation regarding the specified immunization,Input Option,Codes,Further evaluation needed,,,,Yes,,,,This data element is an action to be performed by the health worker,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE161,Potential contraindications,Specific situations or medical conditions in which it is advised or recommended to avoid or delay administering a particular vaccine,Select one,Coding,,,,,Yes,R,,,,,,,,,,,,,,,,,,,,,,,,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE162,Currently pregnant,The client is currently pregnant,Input Option,Codes,Currently pregnant,,,,Yes,,,,"If the client cannot be determined to be reasonably pregnant/not pregnant, it is recommended that a pregnancy test be used to determine whether or not the client is pregnant before administering certain vaccines that should not be given to pregnant individuals.",QA41,http://id.who.int/icd/entity/472990502,Code title: Pregnant state,Equivalent,Z33,"Code title: Pregnant state, incidental",Equivalent,82810-3,Code title: Pregnancy Status,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,77386006,Code title: Pregnancy (finding),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE165,Severely immunosuppressed,The client is known to be severely immunocompromised or immunosuppressed,Input Option,Codes,Severely immunosuppressed,,,,Yes,,,,,4B4Z,,"Code title: Diseases of the immune system, unspecified",Related to,D89.9,"Code title: Disorder involving the immune mechanism, unspecified",Source is narrower than target,96381-9,Code title: Immune status,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,370388006,Code title: Patient immunocompromised (finding),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE166,History of anaphylactic reactions,The client is known to have history of anaphylaxis in the past. Anaphylaxis is a severe and potentially life-threatening allergic reaction that can occur rapidly after exposure to an allergen or vaccine component.,Input Option,Codes,History of anaphylactic reactions,,,,Yes,,,,,QC44.0,http://id.who.int/icd/entity/414789075,Code title: Personal history of anaphylaxis,Equivalent,Z87.892,Code title: Personal history of anaphylaxis,Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,10839421000119100,Code title: History of anaphylaxis,Equivalent,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE167,Severe allergic reactions,The client is known to have severe allergic reaction to vaccine,Input Option,Codes,Severe allergic reactions,,,,Yes,,,,,QC44.2,http://id.who.int/icd/entity/1307379503,"Code title: Personal history of allergy to drugs, medicaments or biological substances",Related to,Z88,"Code title: Personal history of allergy to drugs, medicaments and biological substances",Related to,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,419076005,Code title: Allergic reaction,Source is narrower than target,,IMMZ.D Administer vaccine
IMMZ.D4.Check contraindications,IMMZ.D.DE168,Symptomatic HIV infection,The client is experiencing HIV-related symptoms,Input Option,Codes,Symptomatic HIV infection,,,,Yes,,,,,1C62.1,http://id.who.int/icd/entity/1575370503,Code title: HIV disease clinical stage 2 without mention of tuberculosis or malaria,Equivalent,B20,Code title: Human immunodeficiency virus [HIV] disease,Equivalent,47244-9,"Code title: Symptom, diagnosis, or opportunistic infection related to HIV treatment",Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,86406008,Code title: Human immunodeficiency virus infection,Equivalent,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE1,Immunization event status,The current status of the individual immunization event,Select one,Coding,,,,,Yes,R,,"IMMZ.IND.01-24, IMMZ.IND.31, IMMZ.IND.33,  IMMZ.IND.37, IMMZ.IND.39",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE2,Completed,The immunization event was successfully carried out as intended,Input Option,Codes,Completed,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE3,Entered in error,"Immunization event record has been mistakenly created or entered into system. Recorded information is incorrect or should not have been documented, though it is possible that real-world decisions were based on it",Input Option,Codes,Entered in error,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE4,Not done,Planned immunization event was not carried out for some reason,Input Option,Codes,Not Done,,,,Yes,,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,385660001,Code title: Not done (qualifier value),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE5,Reason vaccine was not administered,The reason this immunization event was not performed,Select one,Coding,,,,,Yes,C,Required if input in IMMZ.D.DE1 Immunization event status is Not Done,,,QC04,http://id.who.int/icd/entity/836689174,Code title: Immunization not carried out,,Z28,See subcategory content below,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE6,Immunity,Testing has shown that the client already has immunity to the agent targeted by the immunization,Input Option,Codes,Immunity,,,,Yes,,,,,QC04.Y,No URI for residuals,"Code title: Immunization not carried out for other reasons

Index term under .Y",Source is narrower than target,Z28.8,Code title: Immunization Not carried out for other reasons,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE7,Medical precaution,The client currently has a medical condition for which the vaccine is contraindicated or for which precaution is warranted,Input Option,Codes,Medical precaution,,,,Yes,,,,,QC04.Y,No URI for residuals,"Code title: Immunization not carried out for other reasons

Index term under .Y",Source is narrower than target,Z28.8,Code title: Immunization Not carried out for other reasons,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE8,Product out of stock,There was no supply of the product on hand to perform the service,Input Option,Codes,Product out of stock,,,,Yes,,,,,QC04.7,http://id.who.int/icd/entity/300485628,Code title: Immunization not carried out due to lack of availability,Source is narrower than target,Z28.8,Code title: Immunization Not carried out for other reasons,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE9,Client objection,The client or their guardian objects to receiving the vaccine,Input Option,Codes,Client objection,,,,Yes,,,,,QC04.5,http://id.who.int/icd/entity/583273619,Code title: Immunization not carried out because of patient refusal,Equivalent,Z28.2,Code title: Immunization not carried out because of patient's decision for other and unspecified reasons,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,591000119102,Code title: Vaccine refused by patient (situation),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE10,Caregiver refusal,The client's caregiver refused the vaccine,Input Option,Codes,Caregiver refusal,,,,Yes,,,,,QC04.6,http://id.who.int/icd/entity/118051153,Code title: Immunization not carried out because of caregiver refusal,Equivalent,Z28.8,Code title: Immunization Not carried out for other reasons,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE11,Unspecified reason,The immunization event was not carried out for an unspecified reason,Input Option,Codes,Unspecified reason,,,,Yes,,,,,QC04.Z,No URI for residuals,Code title: Immunization not carried out for unspecified reason,Equivalent,Z28.9,Code title: Immunization not carried out for unspecified reason,Equivalent,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE12,Client allergy to vaccine or component,The immunization event was not carried out because of client allergy to vaccine or component,Input Option,Codes,Client allergy to vaccine or component,,,,Yes,,,,,QC04.4,http://id.who.int/icd/entity/472002267,Code title: Immunization not carried out because of patient allergy to vaccine or component,Equivalent,Z28.0,Code title: Immunization not carried out because of contraindication,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE13,Immunocompromised,The immunization event was not carried out because the client is immunocompromised,Input Option,Codes,Immunocompromised,,,,Yes,,,,,QC04.3,http://id.who.int/icd/entity/1200706488,Code title: Immunization not carried out because of immune-compromised state of patient,Equivalent,Z28.0,Code title: Immunization not carried out because of contraindication,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,370388006,Code title: Patient immunocompromised (finding),Equivalent,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE14,Chronic illness or condition,The immunization event was not carried out due a chronic illness or condition of the client,Input Option,Codes,Chronic illness or condition,,,,Yes,,,,,QC04.2,http://id.who.int/icd/entity/1650200188,Code title: Immunization not carried out because of chronic illness or condition of patient,Equivalent,Z28.0,Code title: Immunization not carried out because of contraindication,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,39104002,Code title: Illness (finding),Source is narrower than target,,IMMZ.D Administer vaccine
IMMZ.D13.Update client record,IMMZ.D.DE15,Acute illness,The immunization event was not carried out due to an acute illness present in the client,Input Option,Codes,Acute illness,,,,Yes,,,,,QC04.1,http://id.who.int/icd/entity/679809409,Code title: Immunization not carried out because of acute illness,Equivalent,Z28.0,Code title: Immunization not carried out because of contraindication,Source is narrower than target,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,39104002,Code title: Illness (finding),Source is narrower than target,,IMMZ.D Administer vaccine
